Type;Author Name;Album Name;Song Name;Analizzata;Recomended;Loreto;Buona;Soft;Vivace;Molto Viv;Camera;Car;Lenta;Country;Strumentale;Classica;Lirica;Live;Discreta;Undefined;Avoid it;Confusionaria;Song Size
Bambini;Canzoni sotto l'albero;Varie;Alla scoperta di Babbo NATALE;x;_;_;B;S;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3010560
Bambini;Canzoni sotto l'albero;Varie;Ci vuole un fiore;x;_;_;B;S;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3514368
Bambini;Canzoni sotto l'albero;Varie;Dolce cara mammina;x;_;_;B;S;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1757184
Bambini;Canzoni sotto l'albero;Varie;Il ballo del qua qua;x;_;_;B;S;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3006464
Bambini;Canzoni sotto l'albero;Varie;Il mio grande papà;x;_;_;B;S;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2887680
Bambini;Canzoni sotto l'albero;Varie;Nella vecchia fattoria;x;_;_;B;S;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2547712
Bambini;Canzoni sotto l'albero;Varie;Noi VORREMMO;x;_;_;B;S;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3698688
Bambini;Canzoni sotto l'albero;Varie;Nonna superman;x;_;_;B;S;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3567616
Bambini;Canzoni sotto l'albero;Varie;Tu scendi dalle stelle;x;_;_;B;S;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2809856
Bambini;Canzoni sotto l'albero;Varie;W la pappa col pomodoro;x;_;_;B;S;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1925120
Bambini;Cartoni;The best of;Anna Dai Capelli Rossi;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1722880
Bambini;Cartoni;The best of;Arale Avventura Nello Spazio Another Dream;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3824036
Bambini;Cartoni;The best of;Arrivano I Superboys;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1723428
Bambini;Cartoni;The best of;Astro Robot-Quattro Supereroi;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2023056
Bambini;Cartoni;The best of;Astro Robot;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1730560
Bambini;Cartoni;The best of;Astroganga;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1337417
Bambini;Cartoni;The best of;Babil Junior Cover;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3405510
Bambini;Cartoni;The best of;Babil Junior;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1667657
Bambini;Cartoni;The best of;Baldios;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2878344
Bambini;Cartoni;The best of;Belfy E Lillibit;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2586024
Bambini;Cartoni;The best of;Belle E Sebastien;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1987632
Bambini;Cartoni;The best of;Bem;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3103128
Bambini;Cartoni;The best of;Bia La Sfida Della Magia;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1113051
Bambini;Cartoni;The best of;Bialasfidadellamagia;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1113051
Bambini;Cartoni;The best of;Blue Noah Mare Spaziale;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1313097
Bambini;Cartoni;The best of;Calendar Man;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3527575
Bambini;Cartoni;The best of;Candy Candy;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1334125
Bambini;Cartoni;The best of;Candycandy;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1334125
Bambini;Cartoni;The best of;Capitan Futuro-Gran Capitano;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1351131
Bambini;Cartoni;The best of;Capitan Futuro;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2526048
Bambini;Cartoni;The best of;Capitan Harlock-I Corsari Delle Stelle;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1153280
Bambini;Cartoni;The best of;Capitan Harlock;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2820098
Bambini;Cartoni;The best of;Capitan Jet;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2078352
Bambini;Cartoni;The best of;Capitanharlock-Icorsaridellestelle;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1153280
Bambini;Cartoni;The best of;Capitanharlock;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1239954
Bambini;Cartoni;The best of;Cara Dolce Kyoko-Kanashimi Yo Konnichi Wa;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3752855
Bambini;Cartoni;The best of;Carletto Principe Dei Mostri-Carletto E I Mostri;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1652616
Bambini;Cartoni;The best of;Carletto Principe Dei Mostri-Che Paura Mi Fa;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2702448
Bambini;Cartoni;The best of;Carlettoeimostri;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1652616
Bambini;Cartoni;The best of;Ceraunavoltapollon;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2798872
Bambini;Cartoni;The best of;Chepauramifa;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2702448
Bambini;Cartoni;The best of;Chobin;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2513952
Bambini;Cartoni;The best of;Conan;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2976914
Bambini;Cartoni;The best of;Cuore;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1865142
Bambini;Cartoni;The best of;Cybernella;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3096241
Bambini;Cartoni;The best of;Cyborg 009;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1317851
Bambini;Cartoni;The best of;Daitarn 3;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3190410
Bambini;Cartoni;The best of;Daitarniii;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1378194
Bambini;Cartoni;The best of;Daltanious;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2579904
Bambini;Cartoni;The best of;Danguard-Al Decimo Pianeta;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2481737
Bambini;Cartoni;The best of;Danguard-Contatto E Va;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2174256
Bambini;Cartoni;The best of;Dastardly And Muttley;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1211245
Bambini;Cartoni;The best of;Don Chuck Story;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2950416
Bambini;Cartoni;The best of;Donchuckilcastoro;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2458017
Bambini;Cartoni;The best of;Doraemon;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2143584
Bambini;Cartoni;The best of;Dragon Ball-Maka Fushigi Adventure;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;864548
Bambini;Cartoni;The best of;Dragon Ball-Romantic Ageruyo;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;768626
Bambini;Cartoni;The best of;E Quasi Magia Johnny;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2217448
Bambini;Cartoni;The best of;Evelyn E La Magia Di Un Sogno D Amore;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3729596
Bambini;Cartoni;The best of;Fan Bernardo;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2530656
Bambini;Cartoni;The best of;Fantaman Cover;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2015280
Bambini;Cartoni;The best of;Fantaman;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1351471
Bambini;Cartoni;The best of;Fiorellino Giramondo;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2488685
Bambini;Cartoni;The best of;Fogus - Jeeg Robot;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1441013
Bambini;Cartoni;The best of;Forza-Sugar;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2303634
Bambini;Cartoni;The best of;Gakeen Magnetico Robot;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1931472
Bambini;Cartoni;The best of;Gatchaman La Battaglia Dei Pianeti Cover;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2195383
Bambini;Cartoni;The best of;Gatchaman La Battaglia Dei Pianeti;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2195383
Bambini;Cartoni;The best of;George Della Giungla;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2012318
Bambini;Cartoni;The best of;Georgie;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1006262
Bambini;Cartoni;The best of;Gigi La Trottola;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1851192
Bambini;Cartoni;The best of;Godam;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2972525
Bambini;Cartoni;The best of;Godsigma;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1248653
Bambini;Cartoni;The best of;Goldrake-Alcor;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2806698
Bambini;Cartoni;The best of;Goldrake-Goldrake;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2432592
Bambini;Cartoni;The best of;Goldrake-Pianeta Terra;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;4119830
Bambini;Cartoni;The best of;Goldrake-Shooting Star;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1293531
Bambini;Cartoni;The best of;Goldrake-Ufo Robot;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2778720
Bambini;Cartoni;The best of;Goldrake-Vega;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3025296
Bambini;Cartoni;The best of;Goldrake-Venusia;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3644450
Bambini;Cartoni;The best of;Goldrake;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3202086
Bambini;Cartoni;The best of;Gordian;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2884754
Bambini;Cartoni;The best of;Gran Prix Il Supercampionissimo;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2496052
Bambini;Cartoni;The best of;Gundam;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3067530
Bambini;Cartoni;The best of;Heidi;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1192411
Bambini;Cartoni;The best of;Hello Sandybell;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3045168
Bambini;Cartoni;The best of;Holly E Benji;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2150064
Bambini;Cartoni;The best of;Huck E Jim;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2093790
Bambini;Cartoni;The best of;Hurricane Polimar;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1544832
Bambini;Cartoni;The best of;I Bon Bon Magici Di Lilly;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2727648
Bambini;Cartoni;The best of;I Cavalieri Dello Zodiaco-Il Ritorno;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1793462
Bambini;Cartoni;The best of;I Cavalieri Dello Zodiaco;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;758857
Bambini;Cartoni;The best of;Il Dottor Slump Ed Arale;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1465782
Bambini;Cartoni;The best of;Il Fantastico Mondo Di Paul;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1050958
Bambini;Cartoni;The best of;Il Grande Mazinga;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3275546
Bambini;Cartoni;The best of;Ilgrandemazinger;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1413120
Bambini;Cartoni;The best of;Incantevole Creamy;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1095314
Bambini;Cartoni;The best of;Izenborg;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2504880
Bambini;Cartoni;The best of;Jeeg Robot Tv;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1432512
Bambini;Cartoni;The best of;Jeeg Robot-Tv;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1912709
Bambini;Cartoni;The best of;Jeeg Robot;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2616715
Bambini;Cartoni;The best of;Jet Robot;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2163024
Bambini;Cartoni;The best of;John Lennon - Imagine;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2943137
Bambini;Cartoni;The best of;Josie And The Pussicats;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;993489
Bambini;Cartoni;The best of;Judo Boy;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1383497
Bambini;Cartoni;The best of;Ken Falco;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1073554
Bambini;Cartoni;The best of;Ken Il Guerriero-I Dont Like Love;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3922651
Bambini;Cartoni;The best of;Ken Il Guerriero-Tough Boy;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3163794
Bambini;Cartoni;The best of;Ken Il Guerriero;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3315848
Bambini;Cartoni;The best of;Kimba Il Leone Bianco;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2946740
Bambini;Cartoni;The best of;Kimbailleonebianco;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2946740
Bambini;Cartoni;The best of;Koseidon;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2836114
Bambini;Cartoni;The best of;Kyashan-Sigla Finale;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1048241
Bambini;Cartoni;The best of;Kyashan-Sigla Iniziale;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1245518
Bambini;Cartoni;The best of;Kyashan;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1607904
Bambini;Cartoni;The best of;L Ape Maga;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2724937
Bambini;Cartoni;The best of;L Ape Maia;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3495520
Bambini;Cartoni;The best of;L Isola Dei Robinson;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3696189
Bambini;Cartoni;The best of;L Isola Del Tesoro;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3808748
Bambini;Cartoni;The best of;L Uomo Tigre;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3352032
Bambini;Cartoni;The best of;La Banda Dei Ranocchi;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1565805
Bambini;Cartoni;The best of;La Famiglia Mezil;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3067344
Bambini;Cartoni;The best of;La Fantastica Mimi;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1475291
Bambini;Cartoni;The best of;La Maga Chappy;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3178728
Bambini;Cartoni;The best of;La Principessa Sapphire;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1311634
Bambini;Cartoni;The best of;La Regina Dei Mille Anni;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2207088
Bambini;Cartoni;The best of;La Spada Di King Arthur;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1488640
Bambini;Cartoni;The best of;Lady Oscar;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1327542
Bambini;Cartoni;The best of;Lalabel;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2904552
Bambini;Cartoni;The best of;Lamu'1;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3549623
Bambini;Cartoni;The best of;Lamu'4;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3288920
Bambini;Cartoni;The best of;Lamu1;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1792731
Bambini;Cartoni;The best of;Lamu;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1408940
Bambini;Cartoni;The best of;Lapemaga;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2724937
Bambini;Cartoni;The best of;Lapemaia;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3495520
Bambini;Cartoni;The best of;Laprincipessasapphire;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;1311634
Bambini;Cartoni;The best of;Le Nuove Avventure Di Pinocchio;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2030400
Bambini;Cartoni;The best of;Lulu Angelo Tra I Fiori;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3231817
Bambini;Cartoni;The best of;Lululangelotraifiori;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3231817
Bambini;Cartoni;The best of;Luomotigre;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3352032
Bambini;Cartoni;The best of;Lupin Iii-Fisarmonica;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;2641084
