Type;AuthorName;AlbumName;SongName;Analizzata;Confusionaria;Discreta;Buona;Recomended;Loreto;Soft;Vivace;MoltoVivace;Camera;Car;Lenta;Country;Strumentale;Classica;Lirica;Live;Undefined;Avoid;SongSize
Stranieri;John Denver;Greatest Hits;Annies song (previously unrele;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;4367835
Stranieri;John Denver;Greatest Hits;Annies song;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;4369050
Stranieri;John Denver;Greatest Hits;Back home again;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;6878067
Stranieri;John Denver;Greatest Hits;Calypso (previously unreleased;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;5221099
Stranieri;John Denver;Greatest Hits;Calypso;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;5238607
Stranieri;John Denver;Greatest Hits;Farewell andromeda (welcome to;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;5881891
Stranieri;John Denver;Greatest Hits;Fly away;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;6047360
Stranieri;John Denver;Greatest Hits;Follow Me;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;4414094
Stranieri;John Denver;Greatest Hits;For Baby (For Bobbie);_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;4464273
Stranieri;John Denver;Greatest Hits;Goodbye Again;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;5467359
Stranieri;John Denver;Greatest Hits;Im sorry;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;5125760
Stranieri;John Denver;Greatest Hits;Leaving on A Jet Plane (Babe I;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3097088
Stranieri;John Denver;Greatest Hits;Leaving on a jet plane;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;5275625
Stranieri;John Denver;Greatest Hits;Like a sad song;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;5397865
Stranieri;John Denver;Greatest Hits;Looking for space;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;5795975
Stranieri;John Denver;Greatest Hits;My sweet lady;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;6392186
Stranieri;John Denver;Greatest Hits;Perhaps Love Feat. Placido Com;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;4397110
Stranieri;John Denver;Greatest Hits;Poems prayers and promises;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;5948339
Stranieri;John Denver;Greatest Hits;Poems, Prayers and Promises;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;6874238
Stranieri;John Denver;Greatest Hits;Rhymes and Reasons;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;4891212
Stranieri;John Denver;Greatest Hits;Rocky mountain high;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;6866790
Stranieri;John Denver;Greatest Hits;Shanghai breezes;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;4688800
Stranieri;John Denver;Greatest Hits;Starwood in Aspen;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;4849205
Stranieri;John Denver;Greatest Hits;Sunshine on my shoulders;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;7520697
Stranieri;John Denver;Greatest Hits;Sweet surrender;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;7961418
Stranieri;John Denver;Greatest Hits;Take Me Home, Country Roads;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;4804085
Stranieri;John Denver;Greatest Hits;Take me home country roads;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;4622363
Stranieri;John Denver;Greatest Hits;Thank god im a country boy;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;4874393
Stranieri;John Denver;Greatest Hits;The eagle and the hawk;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3097640
Stranieri;John Denver;Greatest Hits;The weight (previously unrelea;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;6516981
Stranieri;John Denver;Greatest Hits;Wild montanna skies feat. emmy;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;5893804
