Type;Author Name;Album Name;Song Name;Punteggio;Analizzata;Recomended;Loreto;Buona;Soft;Vivace;Molto Viv;Camera;Car;Lenta;Country;Strumentale;Classica;Lirica;Live;Discreta;Undefined;Avoid it;Confusionaria;Song Size
Chitarra;Carlos Fanelli & CO;Fluffies Bunnies;Fluffies Bunnies 01;385;x;x;.;x;x;.;.;.;.;.;.;x;.;.;.;.;.;.;.;bytes 4.297.687
Chitarra;Carlos Fanelli & CO;Fluffies Bunnies;Fluffies Bunnies 02;384;x;x;.;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;bytes 4.061.297
Chitarra;Carlos Fanelli & CO;Fluffies Bunnies;Fluffies Bunnies 03;384;x;x;.;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;bytes 3.714.472
Chitarra;Carlos Fanelli & CO;Fluffies Bunnies;Fluffies Bunnies 04;384;x;x;.;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;bytes 5.381.875
Chitarra;Karadaglic Milos;Mediterraneo;A Day In May;385;x;M;.;x;x;.;.;.;.;.;.;x;.;.;.;.;.;.;.;bytes 4.293.255
Chitarra;Karadaglic Milos;Mediterraneo;Adelita;385;x;M;.;x;x;.;.;.;.;.;.;x;.;.;.;.;.;.;.;bytes 2.468.001
Chitarra;Karadaglic Milos;Mediterraneo;Cantabile;385;x;M;.;x;x;.;.;.;.;.;.;x;.;.;.;.;.;.;.;bytes 4.972.714
Chitarra;Karadaglic Milos;Mediterraneo;Capricho Arabe Serenata;385;x;M;.;x;x;.;.;.;.;.;.;x;.;.;.;.;.;.;.;bytes 7.825.959
Chitarra;Karadaglic Milos;Mediterraneo;El testament d'Amelia;385;x;M;.;x;x;.;.;.;.;.;.;x;.;.;.;.;.;.;.;bytes 3.294.449
Chitarra;Karadaglic Milos;Mediterraneo;Lagrima;385;x;M;.;x;x;.;.;.;.;.;.;x;.;.;.;.;.;.;.;bytes 2.835.051
Chitarra;Karadaglic Milos;Mediterraneo;Moderato;385;x;M;.;x;x;.;.;.;.;.;.;x;.;.;.;.;.;.;.;bytes 4.967.795
Chitarra;Karadaglic Milos;Mediterraneo;Mosso;385;x;M;.;x;x;.;.;.;.;.;.;x;.;.;.;.;.;.;.;bytes 1.884.095
Chitarra;Karadaglic Milos;Mediterraneo;No. 3 Sevilla;385;x;M;.;x;x;.;.;.;.;.;.;x;.;.;.;.;.;.;.;bytes 7.347.602
Chitarra;Karadaglic Milos;Mediterraneo;No.1 Granada;385;x;M;.;x;x;.;.;.;.;.;.;x;.;.;.;.;.;.;.;bytes 8.026.665
Chitarra;Karadaglic Milos;Mediterraneo;No.2 Oriental;385;x;M;.;x;x;.;.;.;.;.;.;x;.;.;.;.;.;.;.;bytes 8.808.810
Chitarra;Karadaglic Milos;Mediterraneo;No.5 Andaluza;385;x;M;.;x;x;.;.;.;.;.;.;x;.;.;.;.;.;.;.;bytes 7.292.750
Chitarra;Karadaglic Milos;Mediterraneo;No.5 Asturias;385;x;M;.;x;x;.;.;.;.;.;.;x;.;.;.;.;.;.;.;bytes 9.040.034
Chitarra;Karadaglic Milos;Mediterraneo;Presto;385;x;M;.;x;x;.;.;.;.;.;.;x;.;.;.;.;.;.;.;bytes 5.284.299
Chitarra;Karadaglic Milos;Mediterraneo;Recuerdos De La Alhambra;385;x;M;.;x;x;.;.;.;.;.;.;x;.;.;.;.;.;.;.;bytes 5.353.724
Chitarra;Karadaglic Milos;Mediterraneo;Spanish Romance;385;x;M;.;x;x;.;.;.;.;.;.;x;.;.;.;.;.;.;.;bytes 4.083.536
Chitarra;Karadaglic Milos;Mediterraneo;You Have Set, My Star;385;x;M;.;x;x;.;.;.;.;.;.;x;.;.;.;.;.;.;.;bytes 3.398.509
Classica;Antonio Vivaldi;Herbert Von Karajan;01-La Primavera - Allegro;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 4.476.928
Classica;Antonio Vivaldi;Herbert Von Karajan;02-La Primavera - Largo e pianissimo sempre;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 4.341.760
Classica;Antonio Vivaldi;Herbert Von Karajan;03-La Primavera - Danza pastorale. Allegro;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 5.783.552
Classica;Antonio Vivaldi;Herbert Von Karajan;04-L'Estate - Allegro non molto;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 7.327.744
Classica;Antonio Vivaldi;Herbert Von Karajan;05-L'Estate - Presto;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 2.764.800
Classica;Antonio Vivaldi;Herbert Von Karajan;06-L'Estate - Presto;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 3.964.928
Classica;Antonio Vivaldi;Herbert Von Karajan;07-L' Autumno - Allegro;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 7.106.560
Classica;Antonio Vivaldi;Herbert Von Karajan;08-L' Autumno - Adagio;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 3.321.856
Classica;Antonio Vivaldi;Herbert Von Karajan;09-L' Autumno - Allegro;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 4.849.664
Classica;Antonio Vivaldi;Herbert Von Karajan;10-L' Inverno - Allegro non molto;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 4.546.560
Classica;Antonio Vivaldi;Herbert Von Karajan;11-L' Inverno - Largo;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 2.973.696
Classica;Antonio Vivaldi;Herbert Von Karajan;12-L' Inverno - Allegro;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 4.263.936
Classica;Arcangelo Corelli;Herbert Von Karajan;14-Concerto di natale - Vivace - Grave - Allegro;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 6.221.824
Classica;Arcangelo Corelli;Herbert Von Karajan;15-Concerto di natale - Adagio - Allegro - Adagio;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 5.033.984
Classica;Arcangelo Corelli;Herbert Von Karajan;16-Concerto di natale - Vivace;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 1.945.600
Classica;Arcangelo Corelli;Herbert Von Karajan;17-Concerto di natale - Allegro;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 2.564.096
Classica;Arcangelo Corelli;Herbert Von Karajan;18-Concerto di natale - Pastorale (Largo);385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 6.565.888
Classica;Bach Johann Sebastian;I Maestri della Musica I-11;01-Concerto di Brandenburgo N 1 in FA+ - Allegro;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 6.082.560
Classica;Bach Johann Sebastian;I Maestri della Musica I-11;02-Concerto di Brandenburgo N 1 in FA+ - Adagio;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 6.311.936
Classica;Bach Johann Sebastian;I Maestri della Musica I-11;03-Concerto di Brandenburgo N 1 in FA+ - Allegro 2;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 6.979.584
Classica;Bach Johann Sebastian;I Maestri della Musica I-11;04-Concerto di Brandenburgo N 1 in FA+ - Minuetto;385;x;x;.;B;S;.;.;.;.;.;.;x;x;.;.;.;.;.;.;bytes 10.817.536
